SAMPLE_ID,SAMPLE_NAME,IGSN,SAMPLE_TYPE,LATITUDE,LONGITUDE,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,ROCK NAME,REFERENCE,METHOD,EXPEDITION ID,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,V2O3,V2O5,Fe,Sr87_Sr86,Sr87_Sr86(I),Rb87_Sr86,E_Sr,Nd143_Nd144,Sm147_Nd144,E_Nd,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Hf176_Hf177,Lu176_Hf177,E_Hf,Re187_Os188,Os187_Os188,Os187_Os188(I),Be9,Be10,Be10_Be9,Sr87_Sr86(T),E_Tl,Ar40,Ar40_RG,Ar40_Ar36,Ar40_Ar39,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,CO2,F,Cl,Pa231,U234_U238_ACTIVITY,U238_Th230,U238_Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pa231_U235_ACTIVITY,Pb210,U238_Th230_ACTIVITY,Ag,As,Au,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cs,Cu,Ga,Ge,Hf,Hg,K,Li,Mo,Na,Nb,Ni,Os,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Th,Ti,Tl,U,V,W,Y,Zn,Zr,DELTA_B11,DELTA_D,DELTA_O18,AB[EM],AN[EM],OR[EM],FO[EM],FA[EM],EN[EM],FS[EM],WO[EM],TEMP,Age,OL[MODE],CPX[MODE],OPX[MODE],PLAG[MODE],OPAQ[MODE],MT[MODE],GM[MODE],VES[MODE],AMPH[MODE],FETI-OX[MODE],HORN[MODE],OX[MODE],PYR,SP[MODE],TI-MT[MODE]
DSDP019-0183-006R-001/142-143,"DSDP 183 6-1, 142-143",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",ICPMS[71554],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.17,703000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-006R-004/018-019,"DSDP 183 6-4, 18-19",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",ICPMS[71554],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,603000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-007R-002/115-116,"DSDP 183 7-2, 115-116",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",ICPMS[71554],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,2024000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-008R-001/093-094,"DSDP 183 8-1, 93-94",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",ICPMS[71554],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1112000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-008R-003/135-136,"DSDP 183 8-3, 135-136",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",MS[69570],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,823000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-009R-003/082-084,183 9R 3 82–84,,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"NIELSEN, 2016[3143]",CALC[66016],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-009R-005/065-067,"DSDP 183 9-5, 65-67",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",MS[69570],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,1084000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-010R-002/079-080,"DSDP 183 10-2, 79-80",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",ICPMS[71554],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,1025000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-011R-002/122-123,"DSDP 183 11-2, 122-123",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",ICPMS[71554],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,736000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSDP019-0183-012R-003/076-077,"DSDP 183 12-3, 76-77",,Whole Rock,52.57,-161.21,-4708.0,-4708.0,OLD_OCEANIC_CRUST,SEDIMENTARY,"GEORGE, 2003[2540]",MS[69570],DSDP019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,779000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
