SAMPLE_ID,SAMPLE_NAME,IGSN,SAMPLE_TYPE,LATITUDE,LONGITUDE,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,ROCK NAME,REFERENCE,METHOD,EXPEDITION ID,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,NiO,MnO,MgO,CaO,SrO,Na2O,K2O,P2O5,BaO,LOI,H2O,H2OM,H2OP,V2O3,V2O5,Fe,Sr87_Sr86,Sr87_Sr86(I),Rb87_Sr86,E_Sr,Nd143_Nd144,Sm147_Nd144,E_Nd,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Hf176_Hf177,Lu176_Hf177,E_Hf,Re187_Os188,Os187_Os188,Os187_Os188(I),Be9,Be10,Be10_Be9,Sr87_Sr86(T),E_Tl,Ar40,Ar40_RG,Ar40_Ar36,Ar40_Ar39,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,CO2,F,Cl,Pa231,U234_U238_ACTIVITY,U238_Th230,U238_Th232_ACTIVITY,Th230_Th232,Th230_Th232_ACTIVITY,Th230_U238_ACTIVITY,Ra226,Ra226_ACTIVITY,Ra226_Th230,Ra226_Th230_ACTIVITY,Pa231_U235_ACTIVITY,Pb210,U238_Th230_ACTIVITY,Ag,As,Au,B,Ba,Be,Bi,Ca,Cd,Co,Cr,Cs,Cu,Ga,Ge,Hf,Hg,K,Li,Mo,Na,Nb,Ni,Os,Pb,Rb,Re,S,Sb,Sc,Se,Sn,Sr,Ta,Th,Ti,Tl,U,V,W,Y,Zn,Zr,DELTA_B11,DELTA_D,DELTA_O18,AB[EM],AN[EM],OR[EM],FO[EM],FA[EM],EN[EM],FS[EM],WO[EM],TEMP,Age,OL[MODE],CPX[MODE],OPX[MODE],PLAG[MODE],OPAQ[MODE],MT[MODE],GM[MODE],VES[MODE],AMPH[MODE],FETI-OX[MODE],HORN[MODE],OX[MODE],PYR,SP[MODE],TI-MT[MODE]
PETDB-2551-K-0833,K-833,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,61.41,0.6,16.95,,,,,5.72,,0.11,2.86,6.9,,3.57,1.36,0.13,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,334.0,,,,,,,,,,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-0834,K-834,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",IGN[67667],,59.57,0.67,16.78,,,,,6.46,,0.12,3.97,7.44,,3.28,1.18,0.13,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,338.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-0834-I,K-834-I,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,54.39,0.78,17.86,,,,,7.93,,0.14,5.35,9.24,,2.95,0.82,0.14,,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,400.0,,,,,,,,,,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-0838,K-838,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,58.18,0.65,16.92,,,,,6.64,,0.13,4.53,8.13,,3.2,1.08,0.13,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,357.0,,,,,,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-0839,K-839,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,61.9,0.6,17.38,,,,,5.44,,0.11,2.41,6.45,,3.92,1.25,0.13,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,310.0,,,,,,,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-0840,K-840,,Whole Rock,58.28,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,63.72,0.57,16.53,,,,,5.15,,0.1,2.36,5.74,,3.87,1.4,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,320.0,,,,,,,,,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-0840-I,K-840-I,,Whole Rock,58.28,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,57.69,0.8,17.67,,,,,7.55,,0.17,3.68,7.32,,3.73,0.83,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,393.0,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-0841,K-841,,Whole Rock,58.28,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,58.88,0.68,17.83,,,,,6.48,,0.13,3.48,7.27,,3.69,1.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,387.0,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1127,K-1127,,Whole Rock,58.28,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,61.3,0.69,16.7,,,,,6.29,,0.13,3.05,6.3,,3.74,1.23,0.17,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,332.0,,,,,,,,,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1131,K-1131,,Whole Rock,58.28,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,61.08,0.66,16.7,,,,,6.24,,0.12,3.23,6.54,,3.68,1.21,0.15,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,328.0,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1132-I,K-1132-I,,Whole Rock,58.28,-155.12,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",IGN[67667],,55.64,0.71,17.88,,,,,7.7,,0.14,4.74,8.71,,3.15,0.79,0.14,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,374.0,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1134-I,K-1134-I,,Whole Rock,58.28,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,57.71,0.73,17.54,,,,,6.95,,0.13,4.09,7.85,,3.49,0.96,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,398.0,,,,,,,,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1135,K-1135,,Whole Rock,58.28,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,60.5,0.68,17.0,,,,,6.19,,0.12,3.34,6.79,,3.71,1.11,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,346.0,,,,,,,,,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1146,K-1146,,Whole Rock,58.21,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,60.32,0.75,16.82,,,,,7.23,,0.14,2.96,6.51,,3.72,1.03,0.14,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,309.0,,,,,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1147,K-1147,,Whole Rock,58.21,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,63.22,0.76,15.98,,,,,6.27,,0.14,2.2,5.47,,4.05,1.36,0.15,,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,257.0,,,,,,,,,,127.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1155,K-1155,,Whole Rock,58.21,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,62.45,0.65,16.37,,,,,6.08,,0.12,2.75,5.9,,3.78,1.38,0.13,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,271.0,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1173,K-1173,,Whole Rock,58.21,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,62.63,0.65,16.39,,,,,6.02,,0.12,2.62,5.89,,3.75,1.38,0.14,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,273.0,,,,,,,,,,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1174,K-1174,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,61.93,0.65,16.52,,,,,6.06,,0.11,2.92,6.33,,3.54,1.41,0.12,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,308.0,,,,,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1175-I,K-1175-I,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",IGN[67667],,54.99,0.78,18.2,,,,,8.05,,0.15,4.33,9.07,,3.03,0.88,0.12,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,393.0,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1177,K-1177,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,58.5,0.87,17.83,,,,,6.08,,0.15,4.58,7.71,,2.73,1.02,0.14,,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,372.0,,,,,,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1178,K-1178,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,53.41,0.91,18.69,,,,,8.86,,0.17,4.57,9.33,,2.78,0.69,0.19,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,417.0,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1179,K-1179,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",IGN[67667],,55.2,0.64,16.42,,,,,7.58,,0.14,7.34,8.67,,2.63,0.85,0.14,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,241.0,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1180,K-1180,,Whole Rock,58.21,-155.07,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,63.52,0.64,16.21,,,,,5.69,,0.12,2.55,5.4,,3.91,1.43,0.13,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,293.0,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1181-I,K-1181-I,,Whole Rock,58.21,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,57.12,0.76,17.67,,,,,7.74,,0.16,4.04,7.63,,3.45,0.9,0.13,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,360.0,,,,,,,,,,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1182,K-1182,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,61.85,0.64,16.6,,,,,5.92,,0.12,2.95,6.38,,3.62,1.4,0.12,,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,309.0,,,,,,,,,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1183-I,K-1183-I,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,54.53,0.79,18.24,,,,,8.0,,0.14,4.6,9.43,,2.95,0.79,0.13,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,409.0,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1184,K-1184,,Whole Rock,58.23,-155.02,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",IGN[67667],,62.86,0.71,16.27,,,,,6.22,,0.13,2.44,5.6,,3.06,2.14,0.18,,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,273.0,,,,,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1185,K-1185,,Whole Rock,58.23,-155.02,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,61.35,0.74,16.53,,,,,6.99,,0.1,2.71,6.02,,3.75,1.26,0.14,,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,275.0,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1203,K-1203,,Whole Rock,58.23,-155.02,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,60.09,0.77,16.82,,,,,7.07,,0.15,3.0,6.7,,3.76,1.09,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,293.0,,,,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1205,K-1205,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,61.18,0.64,16.62,,,,,6.14,,0.12,3.16,6.71,,3.6,1.29,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,309.0,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1206,K-1206,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,62.17,0.63,16.44,,,,,5.94,,0.12,2.9,6.24,,3.63,1.41,0.12,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,302.0,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1207A,K-1207A,,Whole Rock,58.23,-155.02,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,63.39,0.65,16.39,,,,,5.77,,0.1,2.34,5.47,,3.99,1.34,0.15,,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,280.0,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1207B,K-1207B,,Whole Rock,58.23,-155.02,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,58.25,0.71,17.21,,,,,7.36,,0.14,3.82,7.59,,3.46,0.93,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,294.0,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1217,K-1217,,Whole Rock,58.21,-155.07,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,63.18,0.69,16.29,,,,,5.79,,0.12,2.69,5.32,,3.89,1.44,0.18,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,304.0,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1222,K-1222,,Whole Rock,58.2,-155.25,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,63.47,0.82,16.28,,,,,5.73,,0.16,2.05,5.16,,4.39,1.29,0.25,,2.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,,302.0,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1223,K-1223,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,58.57,0.7,16.65,,,,,6.78,,0.13,4.47,7.73,,3.26,1.15,0.17,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,340.0,,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1226,K-1226,,Whole Rock,58.22,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,59.28,0.73,17.15,,,,,6.58,,0.13,3.51,7.25,,3.59,1.22,0.14,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,323.0,,,,,,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1230,K-1230,,Whole Rock,58.21,-155.07,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,62.99,0.65,16.3,,,,,5.91,,0.13,2.71,5.51,,3.83,1.41,0.14,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,280.0,,,,,,,,,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1231-I,K-1231-I,,Whole Rock,58.21,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF-EDS[63623],,54.46,0.77,18.26,,,,,8.2,,0.15,5.05,8.9,,3.01,0.69,0.12,,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,379.0,,,,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1406,K-1406,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,63.11,0.65,16.45,,,,,5.63,,0.12,2.58,5.61,,3.91,1.39,0.15,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,321.0,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-1407,K-1407,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,ANDESITE,"HILDRETH, 2000[2551]",XRF[61591],,62.81,0.68,16.32,,,,,5.91,,0.13,2.68,5.64,,3.88,1.4,0.15,,-0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,320.0,,,,,,,,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-2016,K-2016,,Whole Rock,58.26,-155.22,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,64.32,0.64,16.01,,,,,5.42,,0.12,2.4,5.19,,3.82,1.51,0.18,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,268.0,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-2021,K-2021,,Whole Rock,58.23,-155.07,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,63.79,0.65,16.16,,,,,5.6,,0.12,2.38,5.35,,3.88,1.48,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,311.0,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-2027,K-2027,,Whole Rock,58.22,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,56.94,0.78,17.31,,,,,7.42,,0.14,4.31,8.12,,3.39,1.02,0.17,,-0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,332.0,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-2028,K-2028,,Whole Rock,58.23,-155.02,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,63.65,0.81,16.52,,,,,5.5,,0.13,1.99,5.04,,4.44,1.32,0.21,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,291.0,,,,,,,,,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PETDB-2551-K-2029,K-2029,,Whole Rock,58.23,-155.02,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",CALC[73547],,65.06,0.66,15.86,,,,,5.21,,0.12,1.98,4.8,,4.2,1.55,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000000338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,,265.0,,,,,,,,,,136.0,,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,
PETDB-2551-K-2053,K-2053,,Whole Rock,58.22,-155.12,,,VOLCANIC_ARC,DACITE,"HILDRETH, 2000[2551]",XRF[61591],,64.77,0.68,15.75,,,,,5.25,,0.12,2.12,4.91,,4.15,1.69,0.17,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,252.0,,,,,,,,,,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
