sample_id,material,SiO2,TiO2,Al2O3,FeO,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Yb,Lu,method
KNO0115-011,GL,,,,,,,,,,,,,3.69,11.7,2.06,11.3,3.92,1.37,5.42,0.952,6.28,1.34,3.91,3.78,0.584,ICPMS(486)
KNO0115-014,GL,,,,,,,,,,,,,4.79,14,2.32,12.5,4.23,1.5,5.53,0.978,6.41,1.35,3.94,3.79,0.575,ICPMS(486)
KNO0115-002-010,GL,,,,,,10.26,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-002-010,GL,,,,,,10.24,,9.24,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-002-010,GL,,,,8.52,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-002-012,GL,,,,,,10.4,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-002-012,GL,,,,,,10.05,,9.28,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-002-012,GL,,,,8.52,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-003-001,GL,,,,,,10.62,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-003-001,GL,,,,,,10.53,,7.98,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-003-001,GL,,,,8.78,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-001-002,GL,,,,,,11.09,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-001-002,GL,,,,,,10.97,,7.84,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-001-002,GL,,,,9.14,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-001-004,GL,,,,,,9.61,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-001-004,GL,,,,,,9.53,,9.4,,,,,,,,,,,,,,,,,,DCP(1786)
KNO0115-001-004,GL,,,,8.08,,,,,,,,,,,,,,,,,,,,,,SP-PH(1787)
KNO0115-004-006,GL,,,,,,10.09,,,,,,,,,,,,,,,,,,,,WET(1785)
KNO0115-004-006,GL,,,,,,10,,8.9,,,,,,,,,,,,,,,,,,DCP(1786)
