Sample_ID,Material,SiO2,TiO2,Al2O3,FeO,Cr2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI,87Sr/86Sr,143Nd/144Nd,epsilon Nd,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,176Hf/177Hf,epsilon Hf,He,3He,4He,3He/4He,4He/3He,3He/4He(R/Ra),La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Cr,Cs,Hf,Nb,Ni,Pb,Rb,Sc,Sr,Ta,Th,U,Y,Zr,Age,Latitude,Longitude,Elevation,Depth,Tectonic,Rock,Expedition,Reference,Method,Sample_ID.1,Material.1,Elevation_km
NADVE89-003-002,WR,48.36,1.56,16.33,10.07,,0.17,7.04,11.18,2.74,0.1,0.16,2.09,0.7,0.51,8.54,18.48,15.54,38.04,,,,,,,,,,,,10.82,3.42,,,,,,,,,,,,,,,,,0.81,,120.1,,,,,,,10.66,-42.73,-3473,3473,FRACTURE_ZONE,"IVM, igneous:volcanic:mafic",VEMANAUTE ,"DOSSO, 1993",NN; IGN; MS; MS-ID,NADVE89-003-002,WR,-3.473
DAR0080-017-001,WR,48.37,0.78,14.5,10.75,,0.17,10.75,12.73,1.69,0.04,0.06,-0.56,0.7,0.51,9.73,18.18,15.45,37.76,0.28,17.79,,,,,40584.42,17.6,0.95,3.09,0.59,3.63,1.51,0.6,2.39,0.49,3.4,0.78,2.2,0.32,2.08,0.32,5.23,,0.01,1.08,0.75,,0.02,0.44,,60.57,0.08,0.05,0.06,21.04,32.29,,57.89,-32.43,-1725,1725,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"TAYLOR, 1997; HILTON, 2000; MURTON, 2002; KEMPTON, 2000",MS; XRF; ICPMS; ICPMS-ID; IGN; MC-ICP-MS,DAR0080-017-001,WR,-1.725
DAR0080-153-003,WR,48.44,0.93,14.88,11.34,,0.18,10.17,12.11,1.82,0.05,0.07,-0.7,0.7,0.51,9.54,,,,,,,,,,,,1.66,4.77,0.78,4.65,1.81,0.71,2.83,0.57,4.04,0.92,2.73,0.38,2.68,0.39,11.16,,0.01,1.35,1.99,,0.21,0.99,,63.86,0.13,0.11,0.05,25.38,45.33,,61.73,-26.9,-600,600,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"MURTON, 2002",XRF; ICPMS; ICPMS-ID; IGN,DAR0080-153-003,WR,-0.6
REVDR04-022-E,GL,48.45,1.19,14.98,9.87,,0.17,8.08,13.27,2.78,0.07,0.07,,,,,,,,,,,,,,81353.73,8.78,1.84,6.67,1.34,7.77,3.06,1.17,4.16,0.78,5.15,1.14,3.28,0.48,3.02,0.45,6.72,367,,1.95,1.11,76.6,0.34,0.52,55.6,108,0.07,0.07,0.01,32,71.5,,0.38,-89.86,-848,848,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",DRIFT04 ,"HARPP, 2003",EMP; ICPMS,REVDR04-022-E,GL,-0.848
REVDR04-022-A,GL,48.49,1.2,14.93,9.86,,0.18,8.19,13.24,2.74,0.05,0.06,,,,,,,,,,,,,,81261.17,8.79,1.72,6.24,1.26,7.32,2.88,1.1,3.89,0.73,4.8,1.07,3.05,0.45,2.82,0.42,6.27,349,,1.83,1.04,73.6,0.26,0.51,53.2,105,0.07,0.07,0.01,30.2,67.1,,0.38,-89.86,-848,848,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",DRIFT04 ,"HARPP, 2003",EMP; ICPMS,REVDR04-022-A,GL,-0.848
EWI0004-020-001,GL,48.57,1.7,16.18,9.91,,0.16,7.77,11.75,2.68,0.27,0.19,,,,,,,,,,,,,,88731.14,8.05,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,2.12,-92.01,-1708,1708,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",EW0004 ,"CUSHMAN, 2004; GRAHAM, 2007",EMP; MS,EWI0004-020-001,GL,-1.708
DAR0080-185-004,WR,48.59,1.61,14.25,13.45,,0.2,7.78,11.97,2.02,0.15,0.16,-0.72,0.7,0.51,8.15,18.7,15.47,38.23,,,,,,,46382.19,15.4,5.28,13.17,1.89,9.62,2.87,1.07,3.84,0.7,4.61,1,2.87,0.39,2.71,0.4,39.13,,0.03,2.1,8.29,,0.67,2.52,,131.6,0.5,0.32,0.15,27.31,78.2,,62.93,-24.79,-275,275,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",CD80 ,"TAYLOR, 1997; HILTON, 2000; MURTON, 2002",ICPMS; XRF; ICPMS-ID; IGN,DAR0080-185-004,WR,-0.275
CON2806-004-003G,GL,48.62,1.84,15.46,9.62,,0.18,7.4,12.12,3,0.87,0.24,,0.7,0.51,7.98,18.75,15.57,38.3,0.28,15.35,,,,,,,13.1,29.6,3.64,16.3,4.03,1.42,4.24,0.71,4.3,0.91,2.46,0.34,2.32,0.35,234.5,,,,,,1.03,16.1,,340.9,,1.42,0.42,28.6,,,-1.41,-13.01,-3950,3950,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",RC2806 ,"SCHILLING, 1994;SCHILLING, 1995; HANNIGAN, 2001; AGRANIER, 2005",MS; EMP; ICPMS,CON2806-004-003,GL,-3.95
REVDR04-022-F,GL,48.66,1.2,14.95,10.08,,0.19,8.01,13.18,2.76,0.05,0.08,,,,,,,,,,,,,,79808.46,8.95,1.86,6.5,1.28,7.29,2.81,1.09,3.84,0.72,4.79,1.07,3.06,0.45,2.8,0.42,7.69,344,,1.82,1.26,97.5,0.27,0.58,52.4,107,0.08,0.08,0.02,29.9,67.4,,0.38,-89.86,-848,848,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",DRIFT04 ,"HARPP, 2003",EMP; ICPMS,REVDR04-022-F,GL,-0.848
MET41/2-175-002,GL,48.67,1.23,17.55,9.14,,0.17,8.78,11.36,2.63,0.26,0.28,,0.7,0.51,8.33,19.05,15.58,38.72,0.28,11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.69,-13.09,-1726,1726,SPREADING_CENTER,"IVM, igneous:volcanic:mafic",METEOR 41/2 ,"PAULICK, 2010; MOELLER, 2002",TIMS; MC-ICP-MS; EMP,MET41/2-175-002,GL,-1.726
